time,mu,percent of points contained
0.0,0.09422636,89.200005
0.1,0.3030296,86.6
0.2,0.51233107,96.100006
0.3,0.72150534,100.0
0.4,0.9299724,100.0
0.5,1.137663,100.0
0.6,1.3453534,100.0
0.7,1.5530441,100.0
0.8,1.7607348,100.0
0.90000004,1.9684256,100.0
1.0,2.176116,100.0
1.1,2.3838065,100.0
1.2,2.5914972,100.0
1.3,2.7991877,100.0
1.4,3.0068784,100.0
1.5,3.214569,100.0
1.6,3.42226,100.0
1.7,3.6299505,100.0
1.8000001,3.8376412,100.0
1.9,4.0453305,100.0
2.0,4.2530212,100.0
2.1,4.460712,100.0
2.2,4.668403,100.0
2.3,4.8760924,100.0
2.4,5.083783,100.0
2.5,5.291475,100.0
2.6000001,5.499165,100.0
2.7,5.706856,100.0
2.8000002,5.9145465,100.0
2.9,6.1222377,100.0
3.0,6.329927,100.0
3.1000001,6.537618,100.0
3.2,6.7453094,100.0
3.3,6.9529996,100.0
3.4,7.160691,100.0
3.5,7.3683825,100.0
3.6000001,7.5760703,100.0
3.7,7.783761,100.0
3.8,7.991452,100.0
3.9,8.199143,100.0
4.0,8.406833,100.0
4.1,8.614527,100.0
4.2,8.822213,100.0
4.3,9.029904,100.0
4.4,9.237596,100.0
4.5,9.445288,100.0
4.6,9.652976,100.0
4.7,9.860669,100.0
4.8,10.068357,100.0
4.9,10.27605,100.0
5.0,10.483739,100.0
5.1000004,10.691488,100.0
5.2000003,10.899279,100.0
5.3,11.107062,100.0
5.4,11.314849,100.0
5.5,11.522636,100.0
5.6,11.730425,100.0
5.7,11.93821,100.0
5.7999997,12.145997,100.0
5.9,12.353787,100.0
6.0,12.561575,100.0
6.1,12.769361,100.0
6.2,12.977147,100.0
6.2999997,13.184936,100.0
6.4,13.392722,100.0
6.5,13.600512,100.0
6.6,13.808297,100.0
6.7000003,14.016085,100.0
6.8,14.223874,100.0
6.9,14.431662,100.0
7.0,14.639443,100.0
7.1,14.847234,100.0
7.2,15.055022,100.0
7.2999997,15.262807,100.0
7.3999996,15.470595,100.0
7.5,15.678379,100.0
7.6,15.886168,100.0
7.7,16.093954,100.0
7.7999997,16.301743,100.0
7.8999996,16.509527,100.0
8.0,16.71732,100.0
8.1,16.925102,100.0
8.2,17.132896,100.0
8.3,17.34068,100.0
8.4,17.548466,100.0
8.5,17.756252,100.0
8.6,17.96404,100.0
8.7,18.17183,100.0
8.8,18.37962,100.0
8.900001,18.587406,100.0
9.0,18.795193,100.0
9.1,19.00298,100.0
9.2,19.210762,100.0
9.3,19.418552,100.0
9.400001,19.62635,100.0
9.5,19.834127,100.0
9.6,20.041916,100.0
9.700001,20.2497,100.0
9.8,20.457489,100.0
9.900001,20.665283,100.0
10.0,20.873068,100.0
10.1,21.080849,100.0
10.200001,21.288645,100.0
10.3,21.496422,100.0
10.4,21.704216,100.0
10.5,21.912003,100.0
10.599999,22.11979,100.0
10.7,22.327576,100.0
10.799999,22.535358,100.0
10.9,22.743149,100.0
11.0,22.950935,100.0
11.099999,23.158726,100.0
11.2,23.366508,100.0
11.3,23.574299,100.0
11.4,23.782082,100.0
11.5,23.989872,100.0
11.599999,24.197659,100.0
11.7,24.405443,100.0
11.8,24.61324,100.0
11.9,24.821028,100.0
12.0,25.028809,100.0
12.1,25.236595,100.0
12.2,25.444384,100.0
12.3,25.652174,100.0
12.4,25.859955,100.0
12.5,26.067745,100.0
12.6,26.275534,100.0
12.7,26.483322,100.0
12.8,26.691109,100.0
12.900001,26.898901,100.0
13.0,27.106688,100.0
13.1,27.314468,100.0
13.2,27.522259,100.0
13.3,27.730043,100.0
13.400001,27.937828,100.0
13.5,28.145618,100.0
13.6,28.353407,100.0
13.700001,28.561195,100.0
13.8,28.768978,100.0
13.900001,28.976765,100.0
14.0,29.18456,100.0
14.1,29.392345,100.0
14.200001,29.600132,100.0
14.3,29.807924,100.0
14.4,30.015705,100.0
14.5,30.223495,100.0
14.599999,30.431276,100.0
14.7,30.639057,100.0
14.799999,30.84685,100.0
14.9,31.054644,100.0
15.0,31.262428,100.0
15.099999,31.470215,100.0
15.2,31.678003,100.0
15.3,31.885792,100.0
15.4,32.093582,100.0
15.5,32.30137,100.0
15.599999,32.509155,100.0
15.7,32.716934,100.0
15.8,32.92473,100.0
15.9,33.132507,100.0
16.0,33.340298,100.0
16.1,33.548096,100.0
16.2,33.75588,100.0
16.3,33.963657,100.0
16.4,34.17145,100.0
16.5,34.379234,100.0
16.6,34.587025,100.0
16.7,34.794823,100.0
16.8,35.002594,100.0
16.9,35.21039,100.0
17.0,35.418167,100.0
17.099998,35.625965,100.0
17.199999,35.833748,100.0
17.3,36.04153,100.0
17.4,36.249325,100.0
17.5,36.45711,100.0
17.6,36.664906,100.0
17.7,36.872684,100.0
17.800001,37.08047,100.0
17.9,37.288254,100.0
18.0,37.496048,100.0
18.1,37.70385,100.0
18.2,37.91162,100.0
18.300001,38.11941,100.0
18.4,38.327206,100.0
18.5,38.534985,100.0
18.6,38.742767,100.0
18.699999,38.950546,100.0
18.8,39.158348,100.0
18.9,39.366135,100.0
19.0,39.573914,100.0
19.1,39.781696,100.0
19.2,39.989487,100.0
19.300001,40.19728,100.0
19.400002,40.40508,100.0
19.5,40.61286,100.0
19.6,40.820652,100.0
19.7,41.028427,100.0
19.800001,41.236225,100.0
19.900002,41.444004,100.0
20.0,41.651794,100.0
20.1,41.85958,100.0
20.2,42.067375,100.0
20.3,42.275154,100.0
20.4,42.48294,100.0
20.5,42.690735,100.0
20.6,42.89852,100.0
20.7,43.10631,100.0
20.8,43.31409,100.0
20.9,43.52188,100.0
21.0,43.729668,100.0
21.099998,43.937458,100.0
21.199999,44.14523,100.0
21.3,44.353024,100.0
21.4,44.560814,100.0
21.5,44.76861,100.0
21.6,44.976383,100.0
21.7,45.18417,100.0
21.800001,45.39196,100.0
21.9,45.59976,100.0
22.0,45.80754,100.0
22.1,46.015327,100.0
22.2,46.223114,100.0
22.300001,46.43091,100.0
22.4,46.638687,100.0
22.5,46.84648,100.0
22.6,47.05426,100.0
22.699999,47.262047,100.0
22.8,47.469837,100.0
22.9,47.67762,100.0
23.0,47.88541,100.0
23.1,48.09319,100.0
23.2,48.300987,100.0
23.300001,48.50877,100.0
23.400002,48.716564,100.0
23.5,48.924355,100.0
23.6,49.13214,100.0
23.7,49.339916,100.0
23.800001,49.5477,100.0
23.900002,49.75551,100.0
24.0,49.963287,100.0
24.1,50.171074,100.0
24.2,50.37887,100.0
24.3,50.58663,100.0
24.4,50.794434,100.0
24.5,51.00222,100.0
24.6,51.210007,100.0
24.7,51.417793,100.0
24.8,51.62558,100.0
24.9,51.83339,100.0
25.0,52.04115,100.0
25.099998,52.24894,100.0
25.199999,52.45673,100.0
25.3,52.66452,100.0
25.4,52.872307,100.0
25.5,53.080093,100.0
25.6,53.28788,100.0
25.7,53.495678,100.0
25.800001,53.703472,100.0
25.9,53.911247,100.0
26.0,54.119022,100.0
26.1,54.326824,100.0
26.2,54.534622,100.0
26.300001,54.7424,100.0
26.4,54.950184,100.0
26.5,55.15797,100.0
26.6,55.365765,100.0
26.699999,55.573547,100.0
26.8,55.781334,100.0
26.9,55.98913,100.0
27.0,56.196907,100.0
27.1,56.4047,100.0
27.2,56.612465,100.0
27.300001,56.820274,100.0
27.400002,57.028053,100.0
27.5,57.235836,100.0
27.6,57.44362,100.0
27.7,57.651424,100.0
27.800001,57.8592,100.0
27.900002,58.06698,100.0
28.0,58.274773,100.0
28.1,58.48256,100.0
28.2,58.690346,100.0
28.3,58.898148,100.0
28.4,59.10593,100.0
28.5,59.31372,100.0
28.6,59.521507,100.0
28.7,59.72929,100.0
28.8,59.937073,100.0
28.9,60.144867,100.0
29.0,60.352654,100.0
29.1,60.56043,100.0
29.2,60.76822,100.0
29.3,60.97602,100.0
29.4,61.183792,100.0
29.5,61.39159,100.0
29.6,61.599384,100.0
29.7,61.80717,100.0
29.8,62.01495,100.0
29.9,62.222733,100.0
30.0,62.43051,100.0
